Código do alimento,Descrição do alimento,Código da preparação,Descrição da preparação,Energia (kcal),Proteína (g),Lipídios totais (g),Carboidrato (g),Fibra alimentar total (g),Colesterol (mg),AG Saturados (g),AG Mono (g),AG Poli (g),AG Linoléico (g),AG Linolênico (g),AG Trans total(g),Açúcar total (g),Açúcar de adição (g),Cálcio (mg),Magnésio (mg),Manganês (mg),Fósforo (mg),Ferro (mg),Sódio (mg),Sódio de adição (mg),Potássio (mg),Cobre (mg),Zinco (mg),Selênio (mcg),Retinol (mcg),Vitamina A (RAE) (mcg),Tiamina (mg),Riboflavina (mg),Niacina (mg),Niacina (NE) (mg),Piridoxina (mg),Cobalamina (mcg),Folato (DFE) (mcg),Vitamina D (mcg),Vitamina E (mg),Vitamina C (mg),Grupo Alimentar
7702602,Almôndega ,99.0,Não se aplica,214.85,20.64,9.2,11,0.76,103.27,3.48,3.64,0.68,0.57,0.06,0.46,2.24,1.55,56.01,22.98,0.15,180.27,2.66,153.28,-,278.32,0.1,4.62,20.68,26.25,26.48,0.16,0.24,4.18,6.5,0.27,1.82,31.26,0.58,0.39,0.83,11
7702603,Kitute bovino,99.0,Não se aplica,242,24.22,15.42,-,-,75,5.738,7.002,0.613,0.416,0.164,0.68,-,-,8.186,20.008,0.002,196,2.813,367.768,-,337.062,0.093,5.711,28.301,-,-,0.081,0.226,3.207,7.574,0.255,2.83,9,0.7,0.14,-,11
7702604,Almôndega ao molho em conserva,99.0,Não se aplica,203.517,16.164,10.722,9.699,0.911,81.807,4.034,4.673,0.6,0.506,0.047,0.579,2.669,1.205,56.748,21.772,0.14,156.157,2.159,246.538,307,313.654,0.1,3.4,16.326,20.413,24.3,0.133,0.212,3.518,5.026,0.273,1.636,29.628,0.411,0.642,2.136,11
7702704,Kitute suíno,99.0,Não se aplica,178,22.62,9.02,-,-,59,3.12,4.44,1.41,1.17,0.24,0.027,-,-,8,22,0.041,281,1.34,1500,-,409,0.145,2.47,19.8,-,-,0.73,0.33,6.15,10.117,0.31,0.7,3,0.8,0.31,-,11
7702705,Presuntada,99.0,Não se aplica,178,22.62,9.02,-,-,59,3.12,4.44,1.41,1.17,0.24,0.027,-,-,8,22,0.041,281,1.34,1500,-,409,0.145,2.47,19.8,-,-,0.73,0.33,6.15,10.117,0.31,0.7,3,0.8,0.31,-,11
7702707,Fiambre ,1.0,Cru(a),178,22.62,9.02,-,-,59,3.12,4.44,1.41,1.17,0.24,0.027,-,-,8,22,0.041,281,1.34,1500,-,409,0.145,2.47,19.8,-,-,0.73,0.33,6.15,10.117,0.31,0.7,3,0.8,0.31,-,11
7702707,Fiambre ,2.0,Cozido(a),178,22.62,9.02,-,-,59,3.12,4.44,1.41,1.17,0.24,0.027,-,-,8,22,0.041,281,1.34,1500,-,409,0.145,2.47,19.8,-,-,0.73,0.33,6.15,10.117,0.31,0.7,3,0.8,0.31,-,11
7702707,Fiambre ,4.0,Assado(a),178,22.62,9.02,-,-,59,3.12,4.44,1.41,1.17,0.24,0.027,-,-,8,22,0.041,281,1.34,1500,-,409,0.145,2.47,19.8,-,-,0.73,0.33,6.15,10.117,0.31,0.7,3,0.8,0.31,-,11
7702707,Fiambre ,5.0,Frito(a),178,22.62,9.02,-,-,59,3.12,4.44,1.41,1.17,0.24,0.027,-,-,8,22,0.041,281,1.34,1500,-,409,0.145,2.47,19.8,-,-,0.73,0.33,6.15,10.117,0.31,0.7,3,0.8,0.31,-,11
7702801,Salsicha em conserva,99.0,Não se aplica,269.08,8.299,25.806,0.268,0.006,46.448,8.278,11.136,4.527,4.147,0.204,0.285,0.207,0.169,17.1,8.371,0.013,75.958,0.575,752.808,-,100.583,0.039,1.035,9.122,18.437,18.437,0.081,0.089,2,3.619,0.103,0.271,1.793,0.268,0.413,0.001,11
7703002,Sardinha em conserva,99.0,Não se aplica,208,24.62,11.45,-,-,142,1.53,3.87,5.15,3.54,0.5,-,-,-,382,39,0.11,490,2.92,505,-,397,0.19,1.31,52.7,32,32,0.08,0.23,5.25,9.85,0.17,8.94,12,6.8,2.04,-,11
